vehicle_type;year_of_manufacture;engine_volume;fuel_type;number_of_km;vehicle_model;price_total;status;time_stamp
OCTAVIA 1.6 TDI 66kW Ambition Combi, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;183903;Škoda Octavia;199000;for_sale;11.09.2020 23:44
OCTAVIA 1.6 TDI 81kW Ambition, liftback, 1 598 ccm;2016;1 598 ccm;NAFTA;159681;Škoda Octavia;209000;for_sale;11.09.2020 23:44
OCTAVIA 1.6 TDI 66kW Active Combi, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;169671;Škoda Octavia;219000;for_sale;11.09.2020 23:44
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;164296;Škoda Octavia;269000;for_sale;11.09.2020 23:44
OCTAVIA 1.6 TDI 81kW Ambition Fresh Combi, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;119547;Škoda Octavia;269000;for_sale;11.09.2020 23:44
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;170915;Škoda Octavia;279000;for_sale;11.09.2020 23:44
OCTAVIA 1.6 TDI 81kW Ambition Fresh Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;136505;Škoda Octavia;279000;for_sale;11.09.2020 23:44
OCTAVIA 1.6 TDI 85kWActive, hatchback, 1 598 ccm;2017;1 598 ccm;NAFTA;51755;Škoda Octavia;289000;for_sale;11.09.2020 23:44
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;135746;Škoda Octavia;289000;for_sale;11.09.2020 23:44
OCTAVIA 1.4 TSI DSG Elegance Combi, kombi, 1 395 ccm;2015;1 395 ccm;BENZÍN;111708;Škoda Octavia;299000;for_sale;11.09.2020 23:44
OCTAVIA 1.6 TDI 81kW Style 4x4, hatchback, 1 598 ccm;2016;1 598 ccm;NAFTA;154297;Škoda Octavia;299000;for_sale;11.09.2020 23:44
OCTAVIA 2.0 TDI 110kW L&K, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;201401;Škoda Octavia;299000;for_sale;11.09.2020 23:44
Octavia Combi 2.0TDI DSG STYLE, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;95441;Škoda Octavia;309000;for_sale;11.09.2020 23:44
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;183631;Škoda Octavia;319000;for_sale;11.09.2020 23:44
OCTAVIA 1.4 TSI 110kW DSG Style Combi, kombi, 1 395 ccm;2016;1 395 ccm;BENZÍN;89133;Škoda Octavia;319000;for_sale;11.09.2020 23:44
OCTAVIA 1.4 TSI Elegance Combi, kombi, 1 395 ccm;2015;1 395 ccm;BENZÍN;41742;Škoda Octavia;339000;for_sale;11.09.2020 23:44
OCTAVIA 1.0 TSI 85kW Ambition Fresh Combi, kombi, 999 ccm;2017;999 ccm;BENZÍN;59457;Škoda Octavia;339000;for_sale;11.09.2020 23:44
OCTAVIA 1.4 TSI 110kW DSG Style Combi, kombi, 1 395 ccm;2017;1 395 ccm;BENZÍN;79676;Škoda Octavia;339000;for_sale;11.09.2020 23:44
